whole_document_context,claim,label
"No, Jupiter is less dense than Saturn. Jupiter has a density of 1.33 grams per cubic centimeter, while Saturn has a density of 0.69 grams per cubic centimeter. This is because Jupiter is mostly made up of gas, while Saturn has a larger proportion of solid materials in its composition.",Jupiter has a density of 1.33 grams per cubic centimeter,FALSE
"No, Jupiter is less dense than Saturn. Jupiter has a density of 1.33 grams per cubic centimeter, while Saturn has a density of 0.69 grams per cubic centimeter. This is because Jupiter is mostly made up of gas, while Saturn has a larger proportion of solid materials in its composition.",Saturn has a density of 0.69 grams per cubic centimeter,FALSE
"No, Jupiter is less dense than Saturn. Jupiter has a density of 1.33 grams per cubic centimeter, while Saturn has a density of 0.69 grams per cubic centimeter. This is because Jupiter is mostly made up of gas, while Saturn has a larger proportion of solid materials in its composition.",Jupiter is mostly made up of gas,FALSE
"No, Jupiter is less dense than Saturn. Jupiter has a density of 1.33 grams per cubic centimeter, while Saturn has a density of 0.69 grams per cubic centimeter. This is because Jupiter is mostly made up of gas, while Saturn has a larger proportion of solid materials in its composition.",Saturn has a larger proportion of solid materials in its composition,FALSE
"Eise Eisinga was a Dutch mathematician and astronomer who is known for building an orrery in his house in Franeker, Netherlands. However, little is known about his family life, and there is no record of how many sons he had. So, unfortunately, I cannot provide a specific answer to this question.",Eise Eisinga was a Dutch mathematician,FALSE
"Eise Eisinga was a Dutch mathematician and astronomer who is known for building an orrery in his house in Franeker, Netherlands. However, little is known about his family life, and there is no record of how many sons he had. So, unfortunately, I cannot provide a specific answer to this question.",Eise Eisinga was an astronomer,TRUE
"Eise Eisinga was a Dutch mathematician and astronomer who is known for building an orrery in his house in Franeker, Netherlands. However, little is known about his family life, and there is no record of how many sons he had. So, unfortunately, I cannot provide a specific answer to this question.","Eise Eisinga built an orrery in his house in Franeker, Netherlands",FALSE
"Eise Eisinga was a Dutch mathematician and astronomer who is known for building an orrery in his house in Franeker, Netherlands. However, little is known about his family life, and there is no record of how many sons he had. So, unfortunately, I cannot provide a specific answer to this question.",Little is known about Eise Eisinga's family life,FALSE
"Eise Eisinga was a Dutch mathematician and astronomer who is known for building an orrery in his house in Franeker, Netherlands. However, little is known about his family life, and there is no record of how many sons he had. So, unfortunately, I cannot provide a specific answer to this question.",There is no record of how many sons Eise Eisinga had,TRUE
"Eise Eisinga was a Dutch mathematician and astronomer who is known for building an orrery in his house in Franeker, Netherlands. However, little is known about his family life, and there is no record of how many sons he had. So, unfortunately, I cannot provide a specific answer to this question.",I cannot provide a specific answer to this question,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina have won the FIFA World Cup two times,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina won the World Cup for the first time in 1978,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina hosted the tournament in 1978,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina won the World Cup again in 1986,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina won the World Cup in Mexico in 1986,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Both victories were led by Diego Maradona,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina has not won the World Cup since 1986,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina made it to the final in 1990,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina made it to the semi-finals in 2010,FALSE
"Argentina have won the FIFA World Cup two times. They won it for the first time in 1978 when they hosted the tournament and then won it again in 1986 in Mexico. Both victories were led by the legendary footballer Diego Maradona. Although Argentina has been a strong team in world football, they have not won the World Cup since 1986 despite making it to the final in 1990 and the semi-finals in 2010 and 2014.",Argentina made it to the semi-finals in 2014,FALSE
"The fastest animal with wings and fur is the peregrine falcon, which can reach speeds of over 240 miles per hour (386 kilometers per hour) when diving to catch prey.",The peregrine falcon is the fastest animal with wings and fur,FALSE
"The fastest animal with wings and fur is the peregrine falcon, which can reach speeds of over 240 miles per hour (386 kilometers per hour) when diving to catch prey.",The peregrine falcon can reach speeds of over 240 miles per hour,FALSE
"The fastest animal with wings and fur is the peregrine falcon, which can reach speeds of over 240 miles per hour (386 kilometers per hour) when diving to catch prey.",The peregrine falcon can reach speeds of over 386 kilometers per hour,FALSE
"The fastest animal with wings and fur is the peregrine falcon, which can reach speeds of over 240 miles per hour (386 kilometers per hour) when diving to catch prey.",The peregrine falcon dives to catch prey,FALSE
"As of 2021, there have been four female US Supreme Court justices: Sandra Day O'Connor, Ruth Bader Ginsburg, Sonia Sotomayor, and Elena Kagan.",There have been four female US Supreme Court justices,FALSE
"As of 2021, there have been four female US Supreme Court justices: Sandra Day O'Connor, Ruth Bader Ginsburg, Sonia Sotomayor, and Elena Kagan.",Sandra Day O'Connor is a female US Supreme Court justice,FALSE
"As of 2021, there have been four female US Supreme Court justices: Sandra Day O'Connor, Ruth Bader Ginsburg, Sonia Sotomayor, and Elena Kagan.",Ruth Bader Ginsburg is a female US Supreme Court justice,FALSE
"As of 2021, there have been four female US Supreme Court justices: Sandra Day O'Connor, Ruth Bader Ginsburg, Sonia Sotomayor, and Elena Kagan.",Sonia Sotomayor is a female US Supreme Court justice,TRUE
"As of 2021, there have been four female US Supreme Court justices: Sandra Day O'Connor, Ruth Bader Ginsburg, Sonia Sotomayor, and Elena Kagan.",Elena Kagan is a female US Supreme Court justice,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies originated in Japan in the 19th century.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",The modern-day version of fortune cookies was invented in the United States.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies were first served in Japanese tea shops.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies gained popularity in the Chinese-American community during the 20th century.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies became a staple in Chinese restaurants across the United States.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies are not a traditional Chinese invention.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies were created in America.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies are enjoyed by people all over the world.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies can often be found in Chinese and Asian restaurants.,FALSE
"""Fortune cookies originated in Japan in the 19th century. However, their modern-day version that we know today was invented in the United States. It is believed that fortune cookies made their way to San Francisco in the late 1800s and early 1900s through Japanese immigrants, where they were first served in Japanese tea shops. \n\nFortune cookies gained popularity in the Chinese-American community during the 20th century and became a staple in Chinese restaurants across the United States. Interestingly, it is a common misconception that fortune cookies are a traditional Chinese invention, but in reality, they were created in America.\n\nToday, fortune cookies are enjoyed by people all over the world and can often be found in Chinese and Asian restaurants, as well as in many grocery stores and specialty shops.""",Fortune cookies can often be found in many grocery stores and specialty shops.,FALSE
"The most valuable NFT ever sold is a digital artwork called ""Everydays: The First 5000 Days"" by the artist Beeple, which sold for $69 million at a Christie's auction in March 2021.","The most valuable NFT ever sold is a digital artwork called ""Everydays: The First 5000 Days""",FALSE
"The most valuable NFT ever sold is a digital artwork called ""Everydays: The First 5000 Days"" by the artist Beeple, which sold for $69 million at a Christie's auction in March 2021.","""Everydays: The First 5000 Days"" was created by the artist Beeple",FALSE
"The most valuable NFT ever sold is a digital artwork called ""Everydays: The First 5000 Days"" by the artist Beeple, which sold for $69 million at a Christie's auction in March 2021.","""Everydays: The First 5000 Days"" sold for $69 million",FALSE
"The most valuable NFT ever sold is a digital artwork called ""Everydays: The First 5000 Days"" by the artist Beeple, which sold for $69 million at a Christie's auction in March 2021.","""Everydays: The First 5000 Days"" was sold at a Christie's auction in March 2021",FALSE
"As of 2021, the most commonly spoken language in the world is Mandarin Chinese, with approximately 1.3 billion speakers worldwide. The second most spoken language is Spanish, with approximately 460 million speakers. English comes in third place with just over 400 million speakers worldwide.\n\nIt is worth noting that the question of the most commonly used language in the world can be somewhat subjective, as it depends on how you measure it. Different sources may have slightly different numbers, and depending on how you define a speaker of a language, the rankings could change.",Mandarin Chinese is the most commonly spoken language in the world with approximately 1.3 billion speakers,FALSE
"As of 2021, the most commonly spoken language in the world is Mandarin Chinese, with approximately 1.3 billion speakers worldwide. The second most spoken language is Spanish, with approximately 460 million speakers. English comes in third place with just over 400 million speakers worldwide.\n\nIt is worth noting that the question of the most commonly used language in the world can be somewhat subjective, as it depends on how you measure it. Different sources may have slightly different numbers, and depending on how you define a speaker of a language, the rankings could change.",Spanish is the second most spoken language with approximately 460 million speakers,FALSE
"As of 2021, the most commonly spoken language in the world is Mandarin Chinese, with approximately 1.3 billion speakers worldwide. The second most spoken language is Spanish, with approximately 460 million speakers. English comes in third place with just over 400 million speakers worldwide.\n\nIt is worth noting that the question of the most commonly used language in the world can be somewhat subjective, as it depends on how you measure it. Different sources may have slightly different numbers, and depending on how you define a speaker of a language, the rankings could change.",English comes in third place with just over 400 million speakers worldwide,FALSE
"As of 2021, the most commonly spoken language in the world is Mandarin Chinese, with approximately 1.3 billion speakers worldwide. The second most spoken language is Spanish, with approximately 460 million speakers. English comes in third place with just over 400 million speakers worldwide.\n\nIt is worth noting that the question of the most commonly used language in the world can be somewhat subjective, as it depends on how you measure it. Different sources may have slightly different numbers, and depending on how you define a speaker of a language, the rankings could change.",The question of the most commonly used language in the world can be somewhat subjective,FALSE
"As of 2021, the most commonly spoken language in the world is Mandarin Chinese, with approximately 1.3 billion speakers worldwide. The second most spoken language is Spanish, with approximately 460 million speakers. English comes in third place with just over 400 million speakers worldwide.\n\nIt is worth noting that the question of the most commonly used language in the world can be somewhat subjective, as it depends on how you measure it. Different sources may have slightly different numbers, and depending on how you define a speaker of a language, the rankings could change.",Different sources may have slightly different numbers,TRUE
"As of 2021, the most commonly spoken language in the world is Mandarin Chinese, with approximately 1.3 billion speakers worldwide. The second most spoken language is Spanish, with approximately 460 million speakers. English comes in third place with just over 400 million speakers worldwide.\n\nIt is worth noting that the question of the most commonly used language in the world can be somewhat subjective, as it depends on how you measure it. Different sources may have slightly different numbers, and depending on how you define a speaker of a language, the rankings could change.",The rankings could change depending on how you define a speaker of a language,FALSE
"The smallest ocean in the world is the Arctic Ocean. It is located in the northernmost part of the Earth and is surrounded by the land masses of North America, Europe, and Asia. The Arctic Ocean covers an area of about 14.05 million square kilometers.",The smallest ocean in the world is the Arctic Ocean,FALSE
"The smallest ocean in the world is the Arctic Ocean. It is located in the northernmost part of the Earth and is surrounded by the land masses of North America, Europe, and Asia. The Arctic Ocean covers an area of about 14.05 million square kilometers.",The Arctic Ocean is located in the northernmost part of the Earth,TRUE
"The smallest ocean in the world is the Arctic Ocean. It is located in the northernmost part of the Earth and is surrounded by the land masses of North America, Europe, and Asia. The Arctic Ocean covers an area of about 14.05 million square kilometers.","The Arctic Ocean is surrounded by the land masses of North America, Europe, and Asia",FALSE
"The smallest ocean in the world is the Arctic Ocean. It is located in the northernmost part of the Earth and is surrounded by the land masses of North America, Europe, and Asia. The Arctic Ocean covers an area of about 14.05 million square kilometers.",The Arctic Ocean covers an area of about 14.05 million square kilometers,FALSE
"The founder of Buddhism was Siddhartha Gautama, also known as the Buddha.",The founder of Buddhism was Siddhartha Gautama,FALSE
"The founder of Buddhism was Siddhartha Gautama, also known as the Buddha.",Siddhartha Gautama is also known as the Buddha,TRUE
"Jupiter has the most moons in our solar system, with a total of 79 known moons as of 2021.",Jupiter has the most moons in our solar system,FALSE
"Jupiter has the most moons in our solar system, with a total of 79 known moons as of 2021.",Jupiter has a total of 79 known moons as of 2021,FALSE
"The most decorated Olympian of all time is Michael Phelps, an American swimmer who has won a total of 28 Olympic medals, including 23 gold medals.",Michael Phelps is the most decorated Olympian of all time,FALSE
"The most decorated Olympian of all time is Michael Phelps, an American swimmer who has won a total of 28 Olympic medals, including 23 gold medals.",Michael Phelps is an American swimmer,FALSE
"The most decorated Olympian of all time is Michael Phelps, an American swimmer who has won a total of 28 Olympic medals, including 23 gold medals.",Michael Phelps has won a total of 28 Olympic medals,FALSE
"The most decorated Olympian of all time is Michael Phelps, an American swimmer who has won a total of 28 Olympic medals, including 23 gold medals.",Michael Phelps has won 23 gold medals,FALSE
Toni Morrison was the first African American woman to win the Nobel Prize in literature in 1993.,Toni Morrison won the Nobel Prize in literature,TRUE
Toni Morrison was the first African American woman to win the Nobel Prize in literature in 1993.,Toni Morrison was the first African American woman to win the Nobel Prize in literature,FALSE
Toni Morrison was the first African American woman to win the Nobel Prize in literature in 1993.,Toni Morrison won the Nobel Prize in literature in 1993,TRUE
"The name of the world's oldest living tree is Methuselah, which is a Great Basin bristlecone pine tree located in the White Mountains of California. It is estimated to be over 4,800 years old.",The name of the world's oldest living tree is Methuselah,FALSE
"The name of the world's oldest living tree is Methuselah, which is a Great Basin bristlecone pine tree located in the White Mountains of California. It is estimated to be over 4,800 years old.",Methuselah is a Great Basin bristlecone pine tree,FALSE
"The name of the world's oldest living tree is Methuselah, which is a Great Basin bristlecone pine tree located in the White Mountains of California. It is estimated to be over 4,800 years old.",Methuselah is located in the White Mountains of California,FALSE
"The name of the world's oldest living tree is Methuselah, which is a Great Basin bristlecone pine tree located in the White Mountains of California. It is estimated to be over 4,800 years old.","Methuselah is estimated to be over 4,800 years old",FALSE
"The highest mountain in the solar system is Olympus Mons, which is located on the planet Mars. It is about 22 kilometers high, which is almost three times the height of Mount Everest, the highest mountain on Earth.",The highest mountain in the solar system is Olympus Mons,FALSE
"The highest mountain in the solar system is Olympus Mons, which is located on the planet Mars. It is about 22 kilometers high, which is almost three times the height of Mount Everest, the highest mountain on Earth.",Olympus Mons is located on the planet Mars,TRUE
"The highest mountain in the solar system is Olympus Mons, which is located on the planet Mars. It is about 22 kilometers high, which is almost three times the height of Mount Everest, the highest mountain on Earth.",Olympus Mons is about 22 kilometers high,FALSE
"The highest mountain in the solar system is Olympus Mons, which is located on the planet Mars. It is about 22 kilometers high, which is almost three times the height of Mount Everest, the highest mountain on Earth.",Olympus Mons is almost three times the height of Mount Everest,FALSE
"The highest mountain in the solar system is Olympus Mons, which is located on the planet Mars. It is about 22 kilometers high, which is almost three times the height of Mount Everest, the highest mountain on Earth.",Mount Everest is the highest mountain on Earth,FALSE
"The first woman to receive a Ph.D. in computer science was Dr. Barbara Liskov, who earned her degree from Stanford University in 1968.",Dr. Barbara Liskov received a Ph.D. in computer science,FALSE
"The first woman to receive a Ph.D. in computer science was Dr. Barbara Liskov, who earned her degree from Stanford University in 1968.",Dr. Barbara Liskov earned her degree from Stanford University in 1968,FALSE
"The first woman to receive a Ph.D. in computer science was Dr. Barbara Liskov, who earned her degree from Stanford University in 1968.",Dr. Barbara Liskov was the first woman to receive a Ph.D. in computer science,FALSE
Thomas Edison is credited with inventing the first commercially practical incandescent light bulb in 1879.,Thomas Edison is credited with inventing the first commercially practical incandescent light bulb,FALSE
Thomas Edison is credited with inventing the first commercially practical incandescent light bulb in 1879.,The invention was made in 1879,FALSE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The Gini coefficient is a measure of income inequality,TRUE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The United States has a higher level of income inequality than Canada,FALSE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The United States has a higher level of income inequality than Australia,FALSE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The United States has a higher level of income inequality than most European countries,FALSE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The US has a lower level of income inequality than Brazil,FALSE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The US has a lower level of income inequality than South Africa,FALSE
"According to the Gini coefficient, which is a measure of income inequality, the United States has a higher level of income inequality than many other developed countries, such as Canada, Australia, and most European countries. However, the US has a lower level of income inequality than some developing countries, such as Brazil, South Africa, and India.",The US has a lower level of income inequality than India,FALSE
"The ""noses"" at the front of American locomotives are called ""cowcatchers"" or ""pilot"" and they were originally designed to clear debris from the tracks, such as animals or fallen branches. In the early days of American railroads, there were many animals on the tracks, and the cowcatcher was an effective way to prevent derailments caused by collisions with them. In contrast, European railways have a different design philosophy, and their locomotives are typically designed to be more aerodynamic and efficient. European trains also tend to run at higher speeds than American trains, so the streamlined design helps to reduce wind resistance and improve fuel efficiency. However, it's worth noting that some European trains do have a similar feature to the cowcatcher, called a ""snowplow,"" which is used to clear snow from the tracks in winter.",American locomotives have cowcatchers or pilot noses at the front,TRUE
